,0,1
368,1030,[-0.73345261]
369,1031,[ 0.01341074]
370,1038,[-0.24037961]
371,1039,[ 0.11658639]
372,1042,[ 0.26575044]
373,1045,[-0.15340973]
374,1046,[ 0.54894838]
375,1048,[ 0.37764347]
376,1049,[ 0.85034836]
377,1051,[ 0.23800032]
378,1053,[ 0.16691388]
379,1055,[-0.21747009]
380,1058,[-0.19438183]
381,1059,[ 0.13792088]
382,1067,[ 0.27946063]
383,1071,[-0.57909741]
384,1073,[-0.01808915]
385,1074,[ 0.99069187]
386,1078,[-0.34056785]
387,1080,[ 0.04301813]
388,1087,[-0.08054586]
389,1093,[ 0.1010738]
390,1098,[-0.09333036]
391,1101,[-0.21155128]
392,1102,[ 0.13211836]
393,1106,[ 0.24542437]
394,1111,[-0.15159192]
395,1112,[ 0.03545374]
396,1116,[-0.01547078]
397,1117,[-0.46276321]
398,1121,[-0.39296033]
399,1133,[ 0.52045324]
400,1137,[-0.49423984]
401,1146,[-0.53824237]
402,1150,[ 0.63949822]
403,1157,[ 0.12302312]
404,1158,[-0.1631795]
405,1159,[ 0.09381302]
406,1165,[-0.30734485]
407,1175,[ 0.40383103]
408,1178,[ 0.06811652]
409,1181,[-0.12765748]
410,1182,[-0.56438142]
411,1184,[ 0.03452943]
412,1191,[-0.55806404]
413,1193,[-0.04947971]
414,1201,[-0.08308049]
415,1208,[-0.13657055]
416,1212,[-0.1699949]
417,1215,[ 0.36435429]
418,1219,[ 0.37615659]
419,1220,[ 0.28351537]
420,1225,[-0.7639487]
421,1228,[-0.02230673]
422,1229,[-0.5242917]
423,1231,[ 0.43491235]
424,1240,[ 0.12214949]
425,1242,[-0.17965858]
426,1256,[-0.25512876]
427,1257,[ 0.57991471]
428,1260,[ 0.12331354]
429,1262,[-0.18846981]
430,1263,[-0.14035081]
431,1267,[ 0.33190304]
432,1275,[-1.11401686]
433,1276,[ 0.48493425]
434,1279,[ 0.0683085]
435,1283,[ 0.06316894]
436,1291,[-0.24401207]
437,1297,[-0.09778934]
438,1299,[ 0.50450498]
439,1302,[-0.6474377]
440,1303,[ 0.23670028]
441,1306,[-0.20558539]
442,1310,[-0.06792554]
443,1315,[-0.65019384]
444,1321,[-0.10131478]
445,1326,[ 0.15671472]
446,1331,[ 0.18971927]
447,1333,[ 0.21656051]
448,1334,[-0.90329932]
449,1338,[-0.00524278]
450,1343,[-0.51551931]
451,1350,[-0.05591444]
452,1356,[-0.23857571]
453,1359,[-0.3347308]
454,1360,[ 0.13497732]
455,1364,[ 0.1223504]
456,1370,[-0.56449497]
457,1371,[ 0.27139175]
458,1375,[ 0.25875028]
459,1376,[ 0.16794775]
460,1381,[ 0.59564777]
461,1385,[ 0.12576165]
462,1391,[ 0.57774806]
463,1397,[-0.30102232]
464,1398,[-0.12439013]
465,1400,[ 0.14059792]
466,1402,[-0.16764236]
467,1403,[ 0.18364978]
468,1404,[ 0.06010957]
469,1408,[-0.03993468]
470,1417,[-0.50702666]
471,1423,[ 0.09616583]
472,1424,[-0.28032857]
473,1428,[-0.20703566]
474,1433,[ 0.18939793]
475,1438,[-0.25766363]
476,1443,[-0.36673295]
477,1447,[-0.21236609]
478,1456,[ 0.26318767]
479,1460,[ 0.27362768]
480,1461,[ 0.36732945]
481,1462,[-0.11313468]
482,1463,[ 0.16143899]
483,1464,[ 0.14811684]
484,1471,[-0.30801168]
485,1478,[ 0.]
486,1481,[-0.11433475]
487,1482,[ 0.]
488,1488,[ 0.32204203]
489,1496,[ 0.13565194]
490,1500,[ 0.13889165]
491,1521,[-0.16075712]
492,1522,[-0.34429578]
493,1523,[-0.57585282]
494,1524,[-0.88242616]
495,1532,[ 0.09706645]
496,1535,[-0.14386164]
497,1536,[ 0.34248638]
498,1545,[ 0.10012377]
499,1565,[-0.44093622]
500,1571,[ 0.09977666]
501,Down 1,[ 0.41655741]
502,Down 2,[ 0.42532884]
503,Down 3,[ 0.23172658]
504,ARI,[-0.12762512]
505,ATL,[ 0.07416838]
506,BAL,[-0.02961562]
507,BUF,[ 0.01063042]
508,CAR,[ 0.08907812]
509,CHI,[ 0.08227799]
510,CIN,[ 0.0239268]
511,CLE,[-0.03742187]
512,DAL,[ 0.11962595]
513,DEN,[-0.02925284]
514,DET,[-0.13604738]
515,GB,[ 0.06006313]
516,HOU,[-0.16766704]
517,IND,[-0.09891579]
518,JAC,[-0.04292455]
519,KC,[ 0.13283733]
520,MIA,[ 0.0248256]
521,MIN,[ 0.10735671]
522,NE,[-0.24185601]
523,NO,[ 0.22388962]
524,NYG,[ 0.11331459]
525,NYJ,[-0.13767106]
526,OAK,[ 0.13023592]
527,PHI,[ 0.04516827]
528,SD,[ 0.01911138]
529,SEA,[ 0.06195237]
530,SF,[-0.07194075]
531,STL,[ 0.07286622]
532,TB,[-0.02812009]
533,TEN,[-0.03836855]
534,WAS,[-0.0468296]
